bvid,title,play_count,duration,author,description
BV1Ev411V7pP,"剪了一些好听的<em class=""keyword"">黄梅戏</em>",84264,10:33,大卷卷王,-
BV1DR4y1V71R,"<em class=""keyword"">黄梅戏</em>小辞店唱段—来来来…韩再芬 韩军",13720,9:56,爱唱戏的宝琴,这段小时候印象最深的是，在有小瀑布那里，店姐问兰房可有 推蔡鸣凤又扯回来那里
BV1vx41187BK,"<em class=""keyword"">黄梅戏</em>-女驸马（韩再芬 超长版舞台全剧 ）",20217,142:32,小辞店,安庆黄梅戏二团演出，韩再芬饰演冯素珍，李萍饰演公主，张银旺饰演刘文举，熊辰龙饰演李兆廷。此版本与韩再芬电视剧半情节较为接近，附有《序曲》和《出走》两场，场次全。
BV1aF411M7wx,"〖高清无码〗<em class=""keyword"">黄梅戏</em>《打猪草》超好听版本",37358,4:35,-至清之水-,-
BV1t44k127tQ,"<em class=""keyword"">黄梅戏</em>《陈氏冤案》_AI修复480P",3210,153:2,太阳骷髅,
BV1nT4y197tA,"《<em class=""keyword"">黄梅戏</em>大全》（高清）",69222,43:9,萌小晗儿,《黄梅戏大全》发行于2007年，主要收录了一些朗朗上口的经典小调，重温黄梅调的浪漫幽默和脍炙人口的经典唱段。
BV1oT411o7vx,"<em class=""keyword"">黄梅戏</em> 《十八莫》 民间经典小戏",1393,47:44,梨园之戏,黄梅戏 《十八莫》 民间经典小戏
BV1wb41167X7,"<em class=""keyword"">黄梅戏</em>《打豆腐》吴琼",9931,32:41,三秋i,
BV1oU4y1W712,"【<em class=""keyword"">黄梅戏</em>】艺术可以接地气，也可以接地府",19320,60:22,账号已注销,"黄梅戏阴司腔唱段，由魂体或濒亡的角色演唱，悲戚哀怨
余淑华《山伯访友·英台描药》
马兰《山伯访友·英台描药》
黄新德《梁祝·山伯描药》
韩军《小辞店·托梦》
刘国平《二龙山·城隍庙内挂了号》
魏蕤《孟姜女·临终》
夏丽娟《卖花记·托梦》
陈小芳《天仙配·董郎前面匆匆走》
马腾《司文郎·闯狱》

新更了p2 
余平、张恒《乌龙院·活捉》
周源源《窦娥冤》（我第一次看的时候看哭了）"
BV1u4411e7uC,"【<em class=""keyword"">黄梅戏</em>电视剧】《公主与皇帝》丁同 赵媛媛 马自俊 满玲玲等[完整版]",15172,206:38,小蕾M南昌,之前微信公众号有人找电视剧版全本，应其所求，感谢安庆的萍萍姨提供原视频。
BV1Zy4y1m72e,"【<em class=""keyword"">黄梅戏</em>】孟姜女 1986 十二月调 [杨俊] 高清修复",83137,10:59,聲光色效,【黄梅戏】孟姜女 1986 十二月调 [杨俊] 高清修复  作者苦苦寻找当年DVD无救；购买了几章光盘都是VCD画质；感动的哭了320*240分辨率，然后采用AI算法+达芬奇一级调色输出，基本保证了画质是高清；毕竟是从VCD画质放大理论上接近10倍了 所以必将尴尬。还有就是声音画面有些事来自网络大神；因为光盘却不全，采用了合并处理，感谢UP主 ，全网寻找孟姜女当年DVD出厂原盘必将能修复成高清。感谢各位粉丝和UP提供参考。
